index,Unnamed: 0,platform,title,description,keywords,htext,params,wiki,alltext,jscheck,docscheck,blogscheck,commcheck,category
2,2,mongoosejs.com,mongoose odm v4.10.5, , ,Elegant MongoDB object modeling for Node.js Mongoose Getting Started ,"/docs/promises.html,/docs/populate.html,/docs/models.html,/docs/schematypes.html,/docs/queries.html,/,/docs/,/docs/api.html,/docs/validation.html,/docs/guide.html",,  validation mongoose models node queries api populate docs elegant object guide js schematypes started html v4 getting modeling odm promises mongodb,1,0,0,0,PACKAGE
3,3,www.highcharts.com,Interactive JavaScript charts for your webpage | Highcharts,Highcharts - Interactive JavaScript charts for your web pages.,"highcharts, charts, javascript charts, ajax charts, plots, line charts, bar charts, pie charts, javascript plots, ajax plots",View demo Get a license ,"/samples/data/jsonp.php,/blog/192-use-highcharts-to-create-charts-in-react,/stock/demo/navigator-disabled",,  charts samples jsonp navigator view highcharts stock blog license react ajax pie data bar use disabled demo get pages line create webpage interactive web plots javascript php,0,0,0,0,PACKAGE
5,5,v4-alpha.getbootstrap.com), , , , ,,, ,0,0,0,0,PACKAGE
9,9,jqueryvalidation.org,jquery validation plugin | form validation with jquery, , ,"This jQuery plugin makes simple clientside form validation easy, whilst still offering plenty of customization options. It makes a good choice if you’re building something new from scratch, but also when you’re trying to integrate something into an existing application with lots of existing markup. The plugin comes bundled with a useful set of validation methods, including URL and email validation, while providing an API to write your own methods. All bundled methods come with default error messages in english and translations into 37 other languages. jQuery Validation Plugin Form validation with jQuery ",/validate/,,  validation error plugin plenty bundled new simple methods including scratch english come trying set also choice easy email translations api makes jquery building url write something application customization validate clientside offering providing languages default still form useful comes whilst existing messages lots options good integrate markup,0,0,0,0,PACKAGE
10,10,flipclockjs.com,flipclock.js,{exp:stash:get name=, ,"So why use this library when there are many others with the same name? Well, this library was created because the other solutions weren’t abstract enough to provide a deep level of customization without rewriting the code. (Besides the domain was available, who could pass it up?). Some libraries have a huge cascade of conditionals, while others simply hard-code too much into their scripts. Most projects had a very narrow scope. After reviewing as many of the existing solutions as possible, it was determined a proper extendible API needed to be written to create any kind of clock or counter (and the flip effect is just cool). The following are the logical requirements that were considered when creating the API. FlipClock.js 0.8.0 Beta Why FlipClock.js? ",",/,/legacy",,  conditionals solutions stash enough many domain narrow clock beta get provide flip extendible creating scripts pass kind others available needed abstract scope following use logical flipclock could cascade level huge name counter code determined rewriting api js without written customization reviewing proper besides existing considered cool projects created library possible exp effect requirements legacy much deep create libraries simply hard well,1,0,0,0,PACKAGE
11,11,www.bootstraptoggle.com,bootstrap toggle,bootstrap toggle is a highly flexible bootstrap plugin that converts checkboxes into toggles.,"bootstrap, toggle, switch, bootstrap-toggle, bootstrap-switch",Bootstrap Toggle is a highly flexible Bootstrap plugin that converts checkboxes into toggles Bootstrap Toggle Getting Started ,/,,  plugin highly getting toggle checkboxes started converts flexible toggles switch bootstrap,0,0,0,0,PACKAGE
12,12,anyorigin.com,any origin - access any domain! the same origin policy exterminator, , ,cross domain jsonp access Any Origin Same-Origin-Policy? Not on my watch. ,/go,,  jsonp access go policy exterminator watch domain cross origin,0,0,0,0,PACKAGE
13,13,brm.io,code by @liabru, , ,HTML5 physics engine brm·io ,/jquery-match-height/,,  engine liabru brm code match jquery physics height html5 io,0,0,0,0,PACKAGE
14,14,stormpath.com,403 Forbidden, , ,403 Forbidden ,"/blog/everything-you-ever-wanted-to-know-about-node-dot-js-sessions,/blog/how-to-write-middleware-for-express-apps",,  node wanted forbidden know sessions middleware blog express apps ever dot everything js write,0,0,0,0,PACKAGE
21,21,jsonresume.org, json resume ,json resume is a community driven open source initiative to create a json based standard for resumes., ,"The open source initiative to create a JSON-based standard for resumes. For developers, by developers. JSON Resume What is this? ",/,,  resume driven based resumes initiative community developers create json standard source open,0,0,0,0,PACKAGE
22,22,www.clementinejs.com,clementine.js - the elegant and lightweight boilerplate for full stack javascript, , ,"Clementine.js is an open-source and lightweight boilerplate for fullstack JavaScript development. The boilerplate errs on the side of transparency and simplicity, making it an ideal starting point for beginner and seasoned developers alike. Clementine.js The elegant and lightweight boilerplate  for full stack JavaScript ","/versions/fcc.html,/,/tutorials/tutorial-beginner.html",,  point simplicity starting fcc full developers tutorial clementine elegant seasoned js open source boilerplate tutorials fullstack ideal lightweight html making alike stack side beginner development javascript versions errs transparency,1,0,0,0,PACKAGE
23,23,mathjs.org,math.js | an extensive math library for javascript and node.js,"math.js is an extensive math library for javascript and node.js. it features big numbers, complex numbers, matrices, units, and a flexible expression parser.","mathjs, math.js, math, js, javascript, node, library, expression, parser, algebra, numeric, number, bignumber, complex, matrix, unit, function, variable, string, value, node.js, mathematics, extensive, advanced","Math.js is an extensive math library for JavaScript and Node.js. It features a flexible expression parser with support for symbolic computation, comes with a large set of built-in functions and constants, and offers an integrated solution to work with different data types like numbers, big numbers, complex numbers, fractions, units, and matrices. Powerful and easy to use. An extensive math library for JavaScript and Node.js # ","/docs/datatypes/bignumbers.html,/,/docs/expressions/parsing.html",,  symbolic units parser library mathematics integrated big solution set matrices features numeric variable easy node function math matrix work complex like bignumbers flexible docs data js powerful fractions use number numbers expression computation functions html mathjs extensive expressions datatypes algebra large comes types value string unit advanced javascript bignumber different built constants parsing support offers,1,0,0,0,PACKAGE
25,25,api.datamarket.azure.com,Microsoft Azure Marketplace, , ,Questions about Azure? Contact our sales team. Product Category ,",/Bing/SearchWeb/Web,/Bing/Search/v1/Image,/Bing/Search/Image,/Bing/Search/v1/Composite",,  category marketplace questions azure microsoft team web v1 composite bing image searchweb search sales contact product,1,0,0,0,PACKAGE
27,27,getbootstrap.com,' bootstrap · the world''s most popular mobile-first and responsive front-end framework. ',"bootstrap, a sleek, intuitive, and powerful mobile first front-end framework for faster and easier web development.", ,"Bootstrap is the most popular HTML, CSS, and JS framework for developing responsive, mobile first projects on the web. Designed for everyone, everywhere. ","/css/,,/customize/,/examples/navbar-fixed-top/,/examples/sticky-footer/,/2.3.2/scaffolding.html,/examples/grid/,/examples/theme/,/,/components/,/examples/sticky-footer-navbar/,/examples/starter-template/,/javascript/,/css,/getting-started/,/examples/grid,/examples/carousel/,/dist/css/bootstrap.css,/examples/offcanvas/,/examples/jumbotron-narrow/,/examples/navbar/",,  components carousel world end intuitive everyone front template offcanvas sleek starter dist framework grid js bootstrap powerful css scaffolding narrow sticky popular responsive theme customize started html top footer easier navbar faster web getting development fixed javascript developing jumbotron mobile everywhere designed projects examples first,0,0,0,0,PACKAGE
28,28,preview.c9users.io, , , , ,"/karpimpski/recipe-box-react/index.html,/karpimpski/javascript-30/Mike30/05_flex_panel/index.html,/arshdkhn1/polling-app,/chaoz4ngel/expressjs,/chadkreutzer/portfolio/index.html,/karpimpski/javascript-30/Mike30/02_clock/index.html,/karpimpski/javascript-30/Mike30/01_drum_kit/index.html,/chaoz4ngel/expressjs/insert.js",,  recipe arshdkhn1 panel drum react box polling js clock karpimpski insert expressjs kit html index chaoz4ngel chadkreutzer portfolio mike30 javascript flex app,0,0,0,0,DOCS
