platform;assignedcategory;checked;category
www.kenneth-truyers.net;NEWS;1;NEWS
school.scotch.io;TRAINING;1;TRAINING
www.imkrisna.com;NEWS;1;NEWS
vanilla-js.com;NEWS;0;PACKAGE
www.newmediacampaigns.com;NEWS;0;BUSINESS
paginationjs.com;PACKAGE;1;PACKAGE
shots.jotform.com;PACKAGE;0;NOCLASS
sraji.wordpress.com;NEWS;1;NEWS
woocommerce.com;PACKAGE;1;PACKAGE
www.punkchip.com;NEWS;1;NEWS
www.debuggex.com;NEWS;0;REPL
codetunnel.com;PACKAGE;0;NEWS
w3resource.com;NEWS;0;SENGINE
davidbcalhoun.com;NEWS;1;NEWS
bountify.co;PACKAGE;1;PACKAGE
abdulapopoola.com;NEWS;1;NEWS
www.salsify.com;NEWS;0;PACKAGE
js.stripe.com;PACKAGE;0;NOCLASS
codegeekz.com;PACKAGE;1;PACKAGE
mochajs.org;PACKAGE;1;PACKAGE
retrosnob.files.wordpress.com;NEWS;1;NEWS
www.learn-js.org;NEWS;0;REPL
derickbailey.com;NEWS;1;NEWS
ip-info.com;PACKAGE;1;PACKAGE
www.servage.net;NEWS;0;PAAS
world.openfoodfacts.org;DOCS;0;COMMUITY
www.openthesaurus.de;PACKAGE;1;PACKAGE
danshort.com;NEWS;1;NEWS
www.meetup.com;PACKAGE;0;COMMUITY
www.quackit.com;TRAINING;1;TRAINING
html5weekly.com;TRAINING;0;NEWS
www.embeddedjs.com;NEWS;0;PACKAGE
www.ictforu.com;NEWS;1;NEWS
www.infoq.com;NEWS;1;NEWS
davidshariff.com;NEWS;1;NEWS
tobyho.com;NEWS;1;NEWS
www.technoblogical.com;TRAINING;1;TRAINING
editor.wix.com;NEWS;-1; 
genius.com;NEWS;-1; 
jsben.ch;REPL;-1; 
www.infobyip.com;PACKAGE;-1; 
app.cssmenumaker.com;PACKAGE;-1; 
www.pauleveritt.org;NEWS;-1; 
www.interviewcake.com;NEWS;-1; 
apiworkspace-jluboff.c9users.io;PACKAGE;-1; 
keystonejs.com;NEWS;-1; 
"'&quothttps:'";PACKAGE;0;NOCLASS
try.jquery.com;PACKAGE;-1; 
nathanhoad.net;NEWS;1;NEWS
www.nostarch.com;DOCS;-1; 
www.bing.com;PACKAGE;0;SENGINE
blog.thefirehoseproject.com;PACKAGE;0;NEWS
blog.udemy.com;NEWS;1;NEWS
blog.miguelgrinberg.com;NEWS;1;NEWS
yehudakatz.com;NEWS;1;NEWS
bootstraptour.com;NEWS;-1; 
adripofjavascript.com;NEWS;-1; 
www.manning.com;NEWS;-1; 
strongloop.com;PACKAGE;-1; 
json.parser.online.fr;REPL;-1; 
www.tothenew.com;DOCS;-1; 
www.syntaxsuccess.com;NEWS;-1; 
jsconsole.com;NEWS;-1; 
vuejs.org;PACKAGE;1;PACKAGE
code.jquery.com;NEWS;-1; 
atmospherejs.com;NEWS;-1; 
labs.steren.fr;NEWS;-1; 
quotes.rest;PACKAGE;-1; 
pt.stackoverflow.com;NEWS;0;COMMUITY
www.xenoveritas.org;NEWS;-1; 
www.sebastianseilund.com;NEWS;-1; 
brianflove.com;PACKAGE;-1; 
t5jixg.by3301.livefilestore.com;PACKAGE;-1; 
odetocode.com;NEWS;-1; 
www.thinkful.com;TRAINING;-1; 
de.wikipedia.org;NEWS;1;NEWS
json-p.org;PACKAGE;-1; 
homezone.com.ua;NEWS;-1; 
jsbooks.revolunet.com;NEWS;-1; 
javascript.about.com;TRAINING;-1; 
www.barnesandnoble.com;NEWS;-1; 
excellencenodejsblog.com;NEWS;1;NEWS
blog.gvm-it.eu;NEWS;1;NEWS
sam-houlahan.github.io;NEWS;1;NEWS
purplejs.io;PACKAGE;1;PACKAGE
pupunzi.open-lab.com;NEWS;-1; 
www.adaltas.com;PACKAGE;-1; 
api.worldweatheronline.com;PACKAGE;1;PACKAGE
desple.com;NEWS;-1; 
plainjs.com;NEWS;0;THEME
www.codediesel.com;PACKAGE;-1; 
www.joezimjs.com;NEWS;-1; 
www.quora.com;NEWS;0;COMMUITY
friendlybit.com;NEWS;-1; 
labs.jonsuh.com;PACKAGE;-1; 
www.dyn-web.com;TRAINING;-1; 
unina.stidue.net;NEWS;-1; 
www.nikola-breznjak.com;NEWS;-1; 
chrome:;PACKAGE;0;NOCLASS
blog.sudoask.com;PACKAGE;0;NEWS
www.bradoncode.com;NEWS;-1; 
file.allitebooks.com;NEWS;-1; 
solutionoptimist.com;NEWS;-1; 
www.scriptingmaster.com;TRAINING;-1; 
www.java2s.com;TRAINING;-1; 
stamat.wordpress.com;PACKAGE;0;NEWS
www.newthinktank.com;TRAINING;-1; 
ignaciothayer.com;NEWS;1;NEWS
dev.vast.com;PACKAGE;0;DOCS
view-source:http:;PACKAGE;0;NOCLASS
JavaScript Objects in Detail;PACKAGE;0;NOCLASS
forums.asp.net;PACKAGE;0;COMMUITY
benhollis.net;NEWS;-1; 
ryanmalm.com;PACKAGE;-1; 
claudiocalautti.cc;NEWS;-1; 
blog.kevinchisholm.com;NEWS;1;NEWS
www.webdeveasy.com;NEWS;-1; 
docs.webplatform.org;PACKAGE;0;DOCS
bugs.jquery.com;PACKAGE;-1; 
p5js.org;PACKAGE;-1; 
jonsuh.com;NEWS;-1; 
api.forecast.io;PACKAGE;1;PACKAGE
www.c-sharpcorner.com;NEWS;-1; 
www.javascriptkata.com;NEWS;-1; 
jazcash.com;NEWS;-1; 
www.discovermeteor.com;NEWS;-1; 
wind-bow.gomix.me;NOCLASS;1;NOCLASS
www.javascript30.com;TRAINING;-1; 
www.destroyallsoftware.com;NEWS;-1; 
security.stackexchange.com;PACKAGE;0;COMMUITY
www.javascriptenlightenment.com;NEWS;-1; 
html5test.com;NEWS;-1; 
watchandcode.com;TRAINING;-1; 
192.168.5.33:8080;PACKAGE;0;NOCLASS
www.plus2net.com;TRAINING;-1; 
www.pageresource.com;NEWS;-1; 
www.mavenspun.com;NEWS;-1; 
www.niklausgerber.com;DOCS;-1; 
img.shields.io;PACKAGE;-1; 
www.thepolyglotdeveloper.com;NEWS;-1; 
port-80-jico6278fu.treehouse-app.com;NEWS;-1; 
html5demos.com;NOCLASS;-1; 
shapeshed.com;NEWS;-1; 
www.c-point.com;NEWS;-1; 
blog.izs.me;NEWS;1;NEWS
roguelike-reactjs.surge.sh;NEWS;-1; 
www.martinellis.com;DOCS;-1; 
jsperf.com;NEWS;-1; 
www.simpleweatherjs.com;PACKAGE;-1; 
learn.knockoutjs.com;PACKAGE;0;TRAINING
ampersandjs.com;NEWS;0;PACKAGE
code-maven.com;PACKAGE;-1; 
paulund.co.uk;TRAINING;-1; 
udemy.com;TRAINING;1;TRAINING
www.htmlgoodies.com;TRAINING;-1; 
james.padolsey.com;NEWS;1;NEWS
onlinehelp.tableau.com;PACKAGE;0;COMMUITY
www.nczonline.net;NEWS;-1; 
www.sebarmeli.com;NEWS;-1; 
www.codeconquest.com;TRAINING;-1; 
jsfidle.net;PACKAGE;0;REPL
en.wikibooks.org;NEWS;1;NEWS
embed.plnkr.co;PACKAGE;-1; 
gulpjs.com;PACKAGE;1;PACKAGE
www.metaweather.com;PACKAGE;1;PACKAGE
www.java.com;NEWS;1;NEWS
jscompress.com;NEWS;-1; 
www.similartech.com;NEWS;-1; 
www.reactjsprogram.com;NEWS;-1; 
www.dropbox.com;PACKAGE;0;PAAS
myjson.com;PACKAGE;-1; 
www.createjs.com;NEWS;-1; 
idhana.com;NEWS;-1; 
webcheatsheet.com;TRAINING;-1; 
