platform,class,check,newclass
,blog|media|news|articl|content|post|journal,0,---
127.0.0.1:62950,blog|media|news|articl|content|post|journal,0,---
1stwebdesigner.com,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
1stwebmagazine.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
ageekandhisblog.com,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
ajax.googleapis.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
ajayt365.github.io,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
alertifyjs.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
alijafarian.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
amitp88.github.io,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
andruxnet-random-famous-quotes.p.mashape.com,blog|media|news|articl|content|post|journal,0,api|package|framework|librar|stack|licens|addon|app
angular.io,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
angularjs.org,manual|guide|docs,0,api|package|framework|librar|stack|licens|addon|app
api.darksky.net,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
api.forismatic.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
api.jqueryui.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
api.openweathermap.org,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
api.walkscore.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
ariya.io,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
arnique.net,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
atom.io,api|package|framework|librar|stack|licens|addon|app,0,(text )?editor|interpreter|repl
benfrain.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.bugsnag.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.codeply.com,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
blog.engineyard.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.garstasio.com,learn|tutorial|course|training| tips|example,0,blog|media|news|articl|content|post|journal
blog.getbootstrap.com,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
blog.jetstrap.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.jquery.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.mashape.com,learn|tutorial|course|training| tips|example,0,blog|media|news|articl|content|post|journal
blog.mgechev.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.movalog.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
blog.teamtreehouse.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
bootstrapdocs.com,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
bryanhadaway.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
callmenick.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
cameronspear.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
charliepark.org,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
chibicode.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
courses.reactjsprogram.com,blog|media|news|articl|content|post|journal,0,learn|tutorial|course|training| tips|example
crossorigin,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
crossorigin.me,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
d3js.org,learn|tutorial|course|training| tips|example,0,api|package|framework|librar|stack|licens|addon|app
demos.creative-tim.com,api|package|framework|librar|stack|licens|addon|app,0,design|galler|template|theme
demos.flesler.com,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
dev.twitter.com,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
dev.w3.org,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
devdocs.io,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
developers.facebook.com,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
docs.mashape.com,api|package|framework|librar|stack|licens|addon|app,0,manual|guide|docs
domain,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
ejohn.org,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
eloquentjavascript.net,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
en.wikipedia.org,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
errors.angularjs.org,manual|guide|docs,1,manual|guide|docs
expo.getbootstrap.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
fittextjs.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
flipclockjs.com,blog|media|news|articl|content|post|journal,0,api|package|framework|librar|stack|licens|addon|app
fontawesome.io,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
forum.jquery.com,api|package|framework|librar|stack|licens|addon|app,0,community|support|people|forum
freegeoip.net,blog|media|news|articl|content|post|journal,0,api|package|framework|librar|stack|licens|addon|app
geoip-db.com,blog|media|news|articl|content|post|journal,0,api|package|framework|librar|stack|licens|addon|app
git.vacanor.com:81,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
