index;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;checked;searchedcategory;category
0;svenv.nl;NEWS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
1;envato.com;NEWS;BUSINESS;NEWS;NEWS;0;BUSINESS;BUSINESS
2;naimhamadi.wordpress.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
3;www.fusioncharts.com;NEWS;NEWS;NEWS;NEWS;0;PACKAGE;PACKAGE
4;lh3.googleusercontent.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;1;;NOCLASS
5;www.thecreativedev.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
6;reactjs-weather-app.surge.sh;PACKAGE;NEWS;PACKAGE;PACKAGE;1;;PACKAGE
7;freecodecampsolutions.wordpress.com;NOCLASS;TRAINING;PACKAGE;PACKAGE;0;NEWS;NEWS
8;www.tagerr.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;0;BUSINESS;BUSINESS
9;compass-style.org;PACKAGE;PACKAGE;NOCLASS;PACKAGE;1;;PACKAGE
10;css-101.org;REPL;PACKAGE;PACKAGE;PACKAGE;0;TRAINING;TRAINING
11;encrypted-tbn0.gstatic.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
12;matthewjamestaylor.com;NEWS;NEWS;NOCLASS;NEWS;1;;NEWS
13;www.css3.info;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;TRAINING;TRAINING
14;www.developer.am;NEWS;NEWS;NOCLASS;NEWS;0;BUSINESS;BUSINESS
15;wpaoli.building58.com;NEWS;NEWS;NOCLASS;NEWS;1;;NEWS
16;htmlreference.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;TRAINING;TRAINING
17;javabeat.net;NEWS;TRAINING;TRAINING;TRAINING;0;NEWS;NEWS
18;www.hyperlinkcode.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;THEME;THEME
19;www.dailytut.com;NEWS;NEWS;TRAINING;NEWS;1;;NEWS
20;csscompressor.com;PACKAGE;TRAINING;PACKAGE;PACKAGE;0;REPL;REPL
21;burnignorance.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
22;chromium.googlesource.com;PACKAGE;NOCLASS;NOCLASS;NOCLASS;1;;NOCLASS
23;csswizardry.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
24;www.impressivewebs.com;TRAINING;TRAINING;NEWS;NEWS;0;TRAINING;TRAINING
25;codecanyon.net;NEWS;TRAINING;NEWS;NEWS;0;THEME;THEME
26;return-true.com;TRAINING;TRAINING;NEWS;NEWS;0;BUSINESS;BUSINESS
27;rhumaric.com;PACKAGE;NEWS;NEWS;NEWS;1;;NEWS
28;is.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;BUSINESS;BUSINESS
29;wellcaffeinated.net;NEWS;PACKAGE;NEWS;NEWS;1;;NEWS
30;html5.validator.nu;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;REPL;REPL
31;www.try.jquery.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
32;codex.wordpress.org;NEWS;NEWS;NEWS;NEWS;1;;NEWS
33;www.ryanwright.me;NEWS;NEWS;PACKAGE;NEWS;1;;NEWS
34;javascript.crockford.com;NEWS;TRAINING;NEWS;NEWS;1;;NEWS
35;www.codeproject.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
36;belardesign.com;NEWS;BUSINESS;PACKAGE;PACKAGE;0;BUSINESS;BUSINESS
38;winshuttle-help.s3.amazonaws.com;NEWS;NEWS;NEWS;NEWS;0;NOCLASS;NOCLASS
39;www.codeforx.com;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
40;thecodeplayer.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
41;www.reinhartmarketing.com;NOCLASS;NEWS;NOCLASS;NOCLASS;0;BUSINESS;BUSINESS
42;www.taniarascia.com;NEWS;TRAINING;NEWS;NEWS;1;;NEWS
43;reactjs.co;TRAINING;TRAINING;PACKAGE;PACKAGE;1;;PACKAGE
