;platform;title;description;keywords;htext;params;category;wiki;alltext;jscheck;docscheck;blogscheck;commcheck
0;imageproxy.sinfulforums.net;Welcome to nginx!; ; ;'If you see this page, the nginx web server is successfully installed and
working. Further configuration is required. Welcome to nginx! ';/imageProxy.php;;;  see imageproxy installed page welcome required configuration server working php nginx web successfully;0;0;0;0
1;bootstrap-anchor.com; ; ; ; ;;;; ;0;0;0;0
2;localhost:3000; ; ; ; ;/views/index.ejs;;;  views ejs index;0;0;0;0
3;www.javascripttutorial.net; ; ; ; ;/javascript-stack/;;;  stack javascript;0;0;0;0
4;nsuchy.me;Attention Required! | Cloudflare; ; ;Completing the CAPTCHA proves you are a human and gives you temporary access to the web property. One more step Please complete the security check to access nsuchy.me ;/freecodecamp-twitch-json-api-example/;;;  json check temporary one human property twitch complete security completing captcha step api gives nsuchy proves required attention please example freecodecamp access web cloudflare;0;0;0;0
5;ryanmorr.com; ; ; ; ;/understanding-scope-and-context-in-javascript/;;;  understanding javascript context scope;0;0;0;0
6;alligator.io;Front-end Web Development, Chewed Up ← Alligator.io;Learn Angular 2+, Vue.js, React, TypeScript, Ionic, JavaScript (ES6/ES2015+) & CSS with short, straightforward posts.; ;Angular 2+, Vue.js, React, JavaScript, Ionic, CSS... Front-End Web Development,Chewed Up ;/js/push-pop-shift-unshift-array-methods/;;;  ionic chewed typescript development javascript posts alligator push io pop unshift css react es2015 vue methods front straightforward array shift angular js short es6 web end learn;0;0;0;0
7;mdn.io;JavaScript | MDN;JavaScript (JS) is a lightweight interpreted or JIT-compiled programming language with first-class functions. While it is most well-known as the scripting language for Web pages, many non-browser environments also use it, such as node.js, Apache CouchDB and Adobe Acrobat. JavaScript is a prototype-based, multi-paradigm, dynamic language, supporting object-oriented, imperative, and declarative (e.g. functional programming) styles. Read more about JavaScript.; ;MDN wants to learn about developers like you: https://qsurvey.mozilla.com/s3/MDN-dev-survey JavaScript Tutorials ;/javascript;;;  interpreted jit acrobat supporting also environments multi tutorials read compiled javascript class mdn s3 based node object oriented g imperative styles mozilla https language lightweight use qsurvey e apache many developers survey browser programming paradigm com pages like known prototype couchdb functional non adobe dev functions first js dynamic declarative web well learn wants scripting;0;0;0;0
8;beginnersbook.com;'BeginnersBook - A Complete Beginner''s Guide';BeginnersBook is a resource site for SEO, WordPress and Java Beginners...; ;By Chaitanya Singh | Filed Under: Java Tutorials  Break statement in Java with example ;/2015/04/json-tutorial/;;;  json tutorials singh beginners java wordpress complete beginnersbook beginner resource seo chaitanya filed tutorial example site statement break guide;0;0;0;0
