;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3
0;PACKAGE;v4-alpha.getbootstrap.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
7;PACKAGE;crossorigin.me;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
8;PACKAGE;minifiedjs.com;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
12;PAAS;anyorigin.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS
13;THEME;brm.io;NEWS;REPL;NOCLASS;NOCLASS;REPL;REPL
21;PACKAGE;jsonresume.org;PACKAGE;COMMUITY;PACKAGE;PACKAGE;PACKAGE;PACKAGE
22;TRAINING;www.clementinejs.com;TRAINING;NEWS;PACKAGE;PACKAGE;NEWS;NEWS
31;PACKAGE;chaijs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
33;PACKAGE;maxcdn.bootstrapcdn.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
35;PACKAGE;jqueryui.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
37;BUSINESS;api.myjson.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
41;PACKAGE;materializecss.com;NEWS;NOCLASS;PACKAGE;PACKAGE;NOCLASS;NOCLASS
43;NEWS;fittextjs.com;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
50;PACKAGE;www.getbootstrap.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
53;PACKAGE;d3js.org;PACKAGE;PACKAGE;TRAINING;PACKAGE;PACKAGE;PACKAGE
54;PACKAGE;en.wikiquote.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
66;PACKAGE;highlightjs.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
67;DOCS;www.oneskyapp.com;NOCLASS;NEWS;DOCS;DOCS;NEWS;NEWS
72;PACKAGE;cdnjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
74;PACKAGE;jsonplaceholder.typicode.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
77;NEWS;mdbootstrap.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
81;PACKAGE;geoip-db.com;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
84;THEME;packagecontrol.io;NOCLASS;NEWS;PACKAGE;PACKAGE;NEWS;NEWS
85;PACKAGE;api.walkscore.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
86;PACKAGE;getbootstrap.com.br;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
87;NOCLASS;howtocenterincss.com;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
89;PACKAGE;www.muicss.com;NOCLASS;NEWS;PACKAGE;PACKAGE;NEWS;NEWS
97;PACKAGE;ide.c9.io;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
104;THEME;www.iframehtml.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
106;PACKAGE;cdn.rawgit.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE
107;TRAINING;lostechies.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
108;NEWS;www.justinmccandless.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;TRAINING
112;NEWS;tympanus.net;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
115;NEWS;recurial.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
116;TRAINING;www.elated.com;NEWS;TRAINING;NEWS;NEWS;TRAINING;TRAINING
120;NEWS;ariya.io;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
121;PACKAGE;codecondo.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
122;NEWS;blog.serverdensity.com;NEWS;NEWS;REPL;NEWS;NEWS;NEWS
131;NEWS;jrsinclair.com;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS
149;TRAINING;callmenick.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
163;TRAINING;1stwebmagazine.com;NOCLASS;PAAS;PACKAGE;PACKAGE;PAAS;PAAS
165;NEWS;designsparkle.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
172;NEWS;coderwall.com;TRAINING;PAAS;NEWS;NEWS;PAAS;PAAS
177;DOCS;imperavi.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
179;COMMUITY;wordpress.stackexchange.com;COMMUITY;COMMUITY;NOCLASS;COMMUITY;COMMUITY;COMMUITY
186;NEWS;www.helloerik.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
187;NEWS;blog.mgechev.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
189;NEWS;www.hongkiat.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
191;NEWS;alijafarian.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
193;NEWS;www.lingulo.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
195;NEWS;www.minimit.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
204;NEWS;jquery-textfill.github.io;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
205;NEWS;modernweb.com;NEWS;PAAS;NEWS;NEWS;NEWS;NEWS
208;NEWS;www.infoworld.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;NEWS
213;NEWS;www.malot.fr;NEWS;DOCS;NEWS;NEWS;NEWS;NEWS
214;NEWS;chibicode.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
219;NEWS;robertnyman.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
220;NEWS;wesbos.com;NEWS;BUSINESS;TRAINING;TRAINING;BUSINESS;BUSINESS
228;NEWS;meyerweb.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
235;NEWS;rainsoft.io;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
244;NEWS;blog.jquery.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
248;NEWS;jaketrent.com;NOCLASS;NEWS;NEWS;NEWS;NEWS;NEWS
249;NEWS;mathiasbynens.be;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
250;NEWS;demos.flesler.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
254;NEWS;microblog.anthonyestebe.com;NEWS;THEME;NEWS;NEWS;NEWS;NEWS
255;NEWS;www.ronaldwidha.net;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS
258;NEWS;blog.jetstrap.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
260;NEWS;ianlunn.co.uk;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
262;NEWS;stackabuse.com;PACKAGE;BUSINESS;NEWS;NEWS;BUSINESS;BUSINESS
267;REPL;jsonviewer.stack.hu;REPL;NOCLASS;PACKAGE;PACKAGE;NOCLASS;NOCLASS
268;NEWS;ctrlq.org;NEWS;BUSINESS;NEWS;NEWS;NEWS;NEWS
271;NEWS;omarriott.com;BUSINESS;BUSINESS;NEWS;BUSINESS;BUSINESS;BUSINESS
272;NEWS;image.slidesharecdn.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
276;COMMUITY;ajayt365.github.io;PACKAGE;BUSINESS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
279;NEWS;hughfdjackson.com;NEWS;BUSINESS;NEWS;NEWS;NEWS;NEWS
285;NOCLASS;htmlcolorcodes.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
294;THEME;azmind.com;NEWS;DOCS;THEME;THEME;DOCS;DOCS
296;TRAINING;smashinghub.com;TRAINING;DOCS;TRAINING;TRAINING;TRAINING;TRAINING
301;THEME;bootstrapbay.com;THEME;NEWS;THEME;THEME;THEME;THEME
305;NEWS;rosettacode.org;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS
309;TRAINING;bootstrapcreative.com;NEWS;NEWS;TRAINING;NEWS;NEWS;NEWS
312;THEME;glyphicons.bootstrapcheatsheets.com;NEWS;THEME;PACKAGE;PACKAGE;THEME;THEME
313;REPL;jsonlint.com;REPL;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
320;REPL;jsfiddle.net;REPL;TRAINING;NOCLASS;NOCLASS;TRAINING;TRAINING
324;PACKAGE;atom.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS
346;TRAINING;www.htmlhelp.com;NEWS;COMMUITY;NEWS;NEWS;NEWS;NEWS
347;TRAINING;www.codewars.com;TRAINING;THEME;TRAINING;TRAINING;TRAINING;TRAINING
350;TRAINING;hackernoon.com;TRAINING;PACKAGE;NEWS;NEWS;PACKAGE;PACKAGE
356;TRAINING;www.the-art-of-web.com;TRAINING;TRAINING;NEWS;NEWS;TRAINING;TRAINING
359;PACKAGE;scotch.io;NEWS;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
361;TRAINING;learnswfobject.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
367;TRAINING;www.tizag.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
370;NEWS;css-tricks.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;NEWS
375;TRAINING;www.udemy.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
379;TRAINING;css-snippets.com;THEME;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
383;TRAINING;university.mongodb.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
384;NOCLASS;learn.shayhowe.com;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
386;DOCS;www.w3schools.com;REPL;NEWS;NEWS;NEWS;NEWS;NEWS
393;NOCLASS;127.0.0.1:62950;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
394;NEWS;ftp.micronet-rostov.ru;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
399;NEWS;lea.verou.me;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
405;TRAINING;vicheanak.com;PACKAGE;PACKAGE;TRAINING;PACKAGE;PACKAGE;PACKAGE
412;TRAINING;www.ascii.cl;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
428;NEWS;labs.omniti.com;NEWS;REPL;NEWS;NEWS;NEWS;NEWS
448;NEWS;www.pdf-archive.com;NEWS;NEWS;DOCS;NEWS;NEWS;NEWS
450;NEWS;www.kenneth-truyers.net;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
455;THEME;paginationjs.com;NOCLASS;PACKAGE;THEME;THEME;PACKAGE;PACKAGE
461;NEWS;codetunnel.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
470;NEWS;retrosnob.files.wordpress.com;NEWS;PACKAGE;TRAINING;TRAINING;PACKAGE;PACKAGE
472;NEWS;derickbailey.com;NEWS;NEWS;TRAINING;NEWS;NEWS;NEWS
480;TRAINING;html5weekly.com;NOCLASS;TRAINING;NOCLASS;NOCLASS;TRAINING;TRAINING
482;NEWS;www.ictforu.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
485;NEWS;tobyho.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
486;TRAINING;www.technoblogical.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
491;THEME;app.cssmenumaker.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
495;PACKAGE;keystonejs.com;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
497;TRAINING;try.jquery.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;TRAINING
500;COMMUITY;www.bing.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS
501;TRAINING;blog.thefirehoseproject.com;NOCLASS;BUSINESS;NEWS;NEWS;BUSINESS;BUSINESS
502;NEWS;blog.udemy.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
505;THEME;bootstraptour.com;PACKAGE;PACKAGE;THEME;PACKAGE;PACKAGE;PACKAGE
507;NEWS;www.manning.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
508;PACKAGE;strongloop.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
512;NEWS;jsconsole.com;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS
