;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
0;NEWS;imageproxy.sinfulforums.net;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NOCLASS
1;BUSINESS;bootstrap-anchor.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
2;REVIEWS;localhost:3000;TRAINING;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NOCLASS
3;NEWS;www.javascripttutorial.net;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;TRAINING
4;THEME;nsuchy.me;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;1;NEWS
5;NEWS;ryanmorr.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
6;NEWS;alligator.io;BUSINESS;PACKAGE;NEWS;NEWS;PACKAGE;PACKAGE;1;NEWS
7;TRAINING;mdn.io;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;1;TRAINING
8;TRAINING;beginnersbook.com;PACKAGE;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;1;TRAINING
9;NEWS;www.metaltoad.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
10;SENGINE;alan.blog-city.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS
11;PACKAGE;demo.wp-api.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
12;NEWS;engineering.cerner.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
13;NEWS;www.albertgao.xyz;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
14;NEWS;www.pythontutor.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;TRAINING
15;DOCS;processingjs.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
16;THEME;forum.jquery.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;COMMUITY
17;PACKAGE;gist.githubusercontent.com;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;NEWS;0;PAAS
18;PACKAGE;mysolaris.xyz;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;NOCLASS;0;NOCLASS
19;NEWS;speakingjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
20;PACKAGE;twittercommunity.com;NEWS;ECOMMERCE;NEWS;NEWS;NEWS;ECOMMERCE;0;DOCS
21;NOCLASS;vstark.net;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NEWS;1;NEWS
22;THEME;www.jquery-az.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;1;NEWS
23;BUSINESS;ejs.co;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
24;PACKAGE;www.totaljs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
25;TRAINING;pbcs.us;NEWS;PACKAGE;TRAINING;TRAINING;PACKAGE;PACKAGE;1;TRAINING
26;BUSINESS;www.eloquentjavascript.net;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS
27;BUSINESS;learncssgrid.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;TRAINING
28;TRAINING;codefights.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;TRAINING
29;NEWS;makecode.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;REPL
30;PACKAGE;www.colr.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;REPL
31;NEWS;www.alexkras.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
32;NEWS;pietschsoft.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
33;NEWS;webmasters.stackexchange.com;NEWS;NEWS;COMMUITY;NEWS;NEWS;NEWS;0;COMMUITY
