;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category;cossim;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;average reliability
0;TRAINING;andrewhfarmer.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;0;TRAINING;1;1;0;1;1;1;0;71.43%
1;TRAINING;webpack.academy;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;0;TRAINING;1;1;0;1;1;1;0;71.43%
2;DOCS;git-scm.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;DOCS;;;0;0;0;0;0;0;0;0.00%
3;TRAINING;devopscube.com;THEME;PAAS;TRAINING;TRAINING;PAAS;PAAS;;;0;0;0;0;0;0;0;0.00%
4;DOCS;firebase.google.com;PACKAGE;DOCS;PACKAGE;PACKAGE;PACKAGE;DOCS;1;PAAS;0;0;0;0;0;0;0;0.00%
5;TRAINING;www.robinwieruch.de;TRAINING;DOCS;TRAINING;TRAINING;TRAINING;DOCS;0;TRAINING;1;1;0;1;1;1;0;71.43%
6;TRAINING;www.reactenlightenment.com;PACKAGE;DOCS;TRAINING;TRAINING;DOCS;DOCS;0;TRAINING;1;0;0;1;1;0;0;42.86%
7;DOCS;hyperledger-fabric.readthedocs.io;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS;DOCS;0;PACKAGE;0;1;0;0;0;0;0;14.29%
8;PACKAGE;healthy.io;NOCLASS;NEWS;PACKAGE;PACKAGE;NEWS;NEWS;;;0;0;0;0;0;0;0;0.00%
9;PACKAGE;docs.docker.com;PACKAGE;DOCS;PACKAGE;PACKAGE;PACKAGE;DOCS;0;DOCS;0;0;1;0;0;0;1;28.57%
10;NEWS;blog.patricktriest.com;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;0;1;1;1;1;1;85.71%
11;PAAS;drive.google.com;PACKAGE;THEME;NEWS;NEWS;THEME;PAAS;0;PAAS;1;0;0;0;0;0;1;28.57%
12;NEWS;web.paperbot.ai;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
13;PACKAGE;www.cnbc.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS;;;0;0;0;0;0;0;0;0.00%
14;PAAS;browsershots.org;TRAINING;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PAAS;0;PACKAGE;0;0;1;1;1;1;0;57.14%
15;NOCLASS;www.codeabbey.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS;1;1;0;1;1;1;0;71.43%
16;TRAINING;play.google.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;ECOMMERCE;0;0;0;0;0;0;0;0.00%
17;BUSINESS;www.bitrise.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
18;NEWS;blog.mapbox.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
19;NOCLASS;www.toolsday.io;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;NEWS;0;1;1;0;1;1;1;71.43%
20;NEWS;www.boost.co.nz;NEWS;BUSINESS;NEWS;NEWS;NEWS;BUSINESS;;;0;0;0;0;0;0;0;0.00%
21;DOCS;therecipebox.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;DOCS;0;PACKAGE;0;1;1;0;1;1;0;57.14%
22;NOCLASS;cors-everywhere.herokuapp.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;0;1;1;1;1;1;1;85.71%
23;PAAS;brainbuffet.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
24;NOCLASS;www.fiastarta.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
25;PACKAGE;api.ai;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;1;1;1;1;100.00%
26;PACKAGE;github.com;PAAS;DOCS;NEWS;NEWS;DOCS;DOCS;1;PAAS;0;1;0;0;0;0;0;14.29%
27;BUSINESS;aaronmassey.pro;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;BUSINESS;0;NOCLASS;0;1;0;1;1;1;0;57.14%
28;PACKAGE;dribbble.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;0;1;1;1;85.71%
29;SENGINE;www.seek.com.au;THEME;THEME;NEWS;THEME;THEME;SENGINE;0;SENGINE;1;0;0;0;0;0;1;28.57%
30;BUSINESS;marketplace.visualstudio.com;TRAINING;DOCS;TRAINING;TRAINING;TRAINING;BUSINESS;1;ECOMMERCE;0;0;0;0;0;0;0;0.00%
31;PACKAGE;www.grapecity.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;1;1;1;1;100.00%
32;TRAINING;dash.generalassemb.ly;TRAINING;REPL;TRAINING;TRAINING;TRAINING;REPL;;;0;0;0;0;0;0;0;0.00%
33;NOCLASS;www.gravit.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS;1;1;0;1;1;1;0;71.43%
34;PACKAGE;datacard.io;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;0;1;1;1;1;1;85.71%
35;NEWS;lifehacker.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
36;NEWS;arstechnica.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;;;0;0;0;0;0;0;0;0.00%
37;THEME;www.html5rocks.com;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;0;0;1;1;1;1;1;71.43%
38;NEWS;www.girliemac.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
39;NEWS;www.digitaljournal.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
